timestamp,cpu_usage,memory_usage,temperature,battery_level,battery_charging,upload_speed_kbps,download_speed_kbps,screen_on,brightness,battery_drain,predicted_drain_average,inference_time_ms
4/23/2026 22:20,26,67,36.3,50,1,0.650718,0,1,21,3949,1095.7692,17.185885
4/23/2026 22:20,26,66,36.6,51,1,0.59436655,0.3747303,1,21,3969,1049.326,9.546042
4/23/2026 22:20,35,67,36.6,51,1,0.04435633,0.030856578,1,21,3923,1006.00604,1.387604
4/23/2026 22:20,26,67,36.6,51,1,0.769046,0.57436305,1,21,3964,972.6685,6.067604
4/23/2026 22:20,26,67,36.8,51,1,0.4334914,0.54693294,1,21,3940,943.2506,5.57802
4/23/2026 22:20,26,67,36.9,52,1,0.41752806,0.5713288,1,21,3941,913.6033,5.601823
4/23/2026 22:21,26,67,36.9,52,1,0.2074713,0.103253156,1,21,3970,886.3734,8.634271
4/23/2026 22:21,31,68,36.9,52,1,0.18986708,0.2190218,1,21,3820,861.9571,6.593646
4/23/2026 22:21,29,67,37.1,52,1,0.267697,0.14327104,1,21,3932,839.7089,4.636927
4/23/2026 22:21,26,67,37.1,52,1,0.16107252,0.090904705,1,21,3927,821.2154,4.484062
4/23/2026 22:21,69,67,37.2,53,1,0.043424223,0.065136336,0,21,3177,1168.3319,1.02651
4/23/2026 22:21,37,65,37.2,53,1,8.0108795,12.427074,0,21,3891,1470.1039,4.917813
4/23/2026 22:21,24,65,37.2,53,1,5.2448163,5.452817,0,21,4011,1702.1074,6.041146
4/23/2026 22:21,24,64,37.2,53,1,0.11854645,0,0,21,4000,1900.649,6.106354
4/23/2026 22:21,24,64,37.6,54,1,20.749538,4.9835114,0,21,3984,2105.2854,6.376667
4/23/2026 22:21,24,65,37.6,54,1,24.392828,1.2079743,0,21,4007,2306.5195,6.036354
4/23/2026 22:21,24,65,37.6,54,1,0.028885258,0.41931766,0,21,4011,2460.6675,7.289427
4/23/2026 22:21,35,65,37.8,54,1,0.4061574,0.18137196,0,21,3970,2611.1267,5.41677
4/23/2026 22:21,24,65,37.8,54,1,0.1789639,0.60605884,0,21,4004,2720.6245,6.409271
4/23/2026 22:21,24,65,37.8,54,1,0.14925732,0.23654513,0,21,4010,2800.271,5.411875
4/23/2026 22:22,24,64,37.8,54,1,0.029936649,0.44132414,0,21,4007,2860.9263,5.560156
4/23/2026 22:22,24,65,37.8,55,1,0,0.053543314,0,21,3993,2908.4504,5.716302
4/23/2026 22:22,24,65,37.8,55,1,0,0.42035383,0,21,4003,2945.9666,5.575469
4/23/2026 22:22,29,64,37.8,55,1,0,0.053556543,0,21,3992,2988.6907,6.249167
4/23/2026 22:22,26,65,37.8,55,1,0,0,0,21,4001,3023.0825,5.720573
4/23/2026 22:22,26,65,38.3,56,1,0.30971262,0.15485631,0,21,3992,3050.4968,5.416927
4/23/2026 22:22,25,65,38.3,56,1,0,0,0,21,3998,3071.016,8.660625
4/23/2026 22:22,24,64,38.3,56,1,0,0,0,21,4009,3083.8345,5.461927
4/23/2026 22:22,86,66,38.4,56,1,2.8159764,1.4637573,1,21,4000,3071.6348,0.926927
4/23/2026 22:22,37,66,38.4,56,1,10.092119,9.998383,0,21,3118,3087.8203,3.963021
4/23/2026 22:22,37,66,38.4,57,1,13.3979435,37.74661,0,21,1835,3108.1243,2.628906
4/23/2026 22:22,35,66,38,57,1,0.59742075,0.2454125,0,21,3979,3126.3586,5.203021
4/23/2026 22:22,57,65,38,57,1,0.09177218,0.068526454,0,21,3935,3137.3174,2.550729
4/23/2026 22:22,38,64,38,57,1,0.100881554,0.14744227,0,21,4011,3146.094,5.741875
4/23/2026 22:22,37,64,38,57,1,0,0.13626455,0,21,4008,3153.512,4.535052
4/23/2026 22:23,31,64,38.6,58,1,0,0.22178078,0,21,3981,3160.1375,5.551198
4/23/2026 22:23,33,64,38.6,58,1,0,0,0,21,3998,3165.4062,6.704166
4/23/2026 22:23,24,65,38.6,58,1,0,0,0,21,3992,3156.6233,5.811563
4/23/2026 22:23,24,65,38.6,58,1,0.30894712,0.20853929,0,21,4003,3142.7422,5.276458
4/23/2026 22:23,24,65,38.6,58,1,0.024124568,0.07044374,0,21,4005,3128.843,6.153542
4/23/2026 22:23,24,65,38.8,58,1,0.3627439,0.18137196,0,21,4008,3116.196,5.524844
4/23/2026 22:23,24,65,38.8,58,1,0,0,0,21,3998,3104.8901,7.692657
4/23/2026 22:23,24,65,39,59,1,0,0,0,21,4000,3095.5193,6.150885
4/23/2026 22:23,28,65,39,59,1,0.30864197,0.15432099,0,21,4011,3099.5671,6.123281
4/23/2026 22:23,24,65,39,59,1,0.009659371,0.12677926,0,21,4013,3098.268,7.428802
4/23/2026 22:23,24,65,39,59,1,0.41139627,0.38990876,0,21,4032,3093.7878,5.908333
4/23/2026 22:23,24,64,39.3,60,1,0.038083218,0,0,21,4010,3089.253,5.462813
4/23/2026 22:23,35,64,39.4,60,1,0.025028603,0.016447369,0,21,3830,3109.2517,5.171927
4/23/2026 22:24,27,64,39.4,61,1,0.031336173,0.05287979,0,21,3791,3121.353,4.559427
4/23/2026 22:24,31,64,39.4,61,1,0.0548946,0.30940592,0,21,3784,3134.989,5.70849
4/23/2026 22:24,24,64,39.4,61,1,3.3006594,5.8549566,0,21,3749,3134.902,5.577813
4/23/2026 22:24,26,65,39.4,62,1,93.7459,96.558586,0,21,3789,3122.2822,5.162396
4/23/2026 22:24,24,65,39.4,62,1,104.00512,104.18846,0,21,3782,3132.72,5.583125
4/23/2026 22:24,24,65,39.4,62,1,204.92233,205.12589,0,21,3735,3257.6091,5.677448
4/23/2026 22:24,25,65,39.4,62,1,15.659258,20.953154,0,21,3776,3423.476,5.186302
4/23/2026 22:24,24,65,39.4,62,1,1.8665179,1.798969,0,21,3754,3609.072,5.096354
4/23/2026 22:24,27,65,39.4,62,1,6.684081,6.6860127,0,21,3797,3735.488,5.537917
4/23/2026 22:24,59,66,39.6,63,1,2.6923606,4.551423,1,21,3786,3776.4553,3.741875
4/23/2026 22:24,86,65,39.6,63,1,1.5840076,2.5656564,1,21,3236,3785.3652,0.804948
4/23/2026 22:24,26,65,39.6,63,0,1.4449139,1.0968707,1,21,-569,3031.6013,2.335
4/23/2026 22:24,37,65,39.6,63,0,0.33868378,0.1962331,1,21,-192,1865.492,1.653697
4/23/2026 22:25,28,65,38.4,63,0,0.04635274,0.04635274,1,21,-157,850.7299,2.231927
4/23/2026 22:25,37,65,38.4,63,0,0.08186461,0.29790968,1,21,-144,263.018,4.953802
4/23/2026 22:25,26,65,38.4,63,0,0.52431583,0.8425814,1,21,-181,-20.070911,2.088229
4/23/2026 22:25,35,65,38.4,63,0,0.3969176,0.21491636,1,21,-166,-140.37932,4.771302
4/23/2026 22:25,26,66,38.4,63,0,0.16086268,0.51214415,1,21,-149,-187.03036,4.254271
4/23/2026 22:25,32,65,38.4,63,0,0.06773284,0,1,21,-130,-210.17229,2.054115
