timestamp,cpu_usage,memory_usage,temperature,battery_level,battery_drain,battery_charging,upload_speed_kbps,download_speed_kbps,screen_on,brightness
2026-02-28 12:50:59,62,67,34.6,78,-111.0,0,0.0,0.0,1,29
2026-02-28 12:51:03,32,70,34.6,78,-919.0,0,26.884218,192.38039,1,29
2026-02-28 12:51:07,48,69,34.6,78,-383.0,0,12.268097,520.40784,1,29
2026-02-28 12:51:11,35,68,34.6,78,-193.0,0,7.023991,524.93,1,29
2026-02-28 12:51:15,46,69,34.6,78,-804.0,0,13.961425,396.78143,1,29
2026-02-28 12:51:19,48,69,34.5,78,-445.0,0,0.7474683,0.09683112,1,29
2026-02-28 12:51:23,45,69,34.5,78,-241.0,0,5.316652,290.6795,1,29
2026-02-28 12:51:27,54,69,34.5,78,-194.0,0,0.30642018,0.28068283,1,29
2026-02-28 12:51:31,39,69,34.5,78,-211.0,0,4.8716183,199.44069,1,29
2026-02-28 12:51:35,47,69,34.5,78,-193.0,0,4.2992034,401.60925,1,29
2026-02-28 12:51:39,36,69,34.5,78,-196.0,0,1.80533,0.6183601,1,29
2026-02-28 12:51:43,39,69,34.5,78,-198.0,0,2.2446396,1.6841462,1,29
2026-02-28 12:51:47,43,68,34.5,78,-195.0,0,0.931203,0.77159595,1,29
2026-02-28 12:51:51,50,67,34.5,78,-214.0,0,1.3202622,0.10349769,1,29
2026-02-28 12:51:55,46,67,34.5,78,-270.0,0,2.5311897,77.76392,1,29
2026-02-28 12:51:59,52,67,34.5,78,-269.0,0,5.471269,445.14267,1,29
2026-02-28 12:52:03,36,68,34.5,78,-194.0,0,33.422657,326.91672,1,29
2026-02-28 12:52:07,42,68,34.5,78,-204.0,0,2.0417047,1.7924678,1,29
2026-02-28 12:52:11,35,68,34.5,78,-207.0,0,3.1989756,60.149612,1,29
2026-02-28 12:52:15,40,68,34.5,78,-191.0,0,2.3390052,14.895362,1,29
2026-02-28 12:52:19,40,68,34.0,78,-221.0,0,7.1176243,171.05614,1,29
2026-02-28 12:52:23,46,67,34.0,78,-175.0,0,5.5601254,262.87308,1,29
2026-02-28 12:52:27,53,67,34.0,78,-233.0,0,1.8278129,171.024,1,29
2026-02-28 12:52:31,37,67,34.0,78,-181.0,0,1.0462649,0.2159075,1,29
2026-02-28 12:52:35,35,68,34.0,78,-186.0,0,0.70914733,0.022789693,1,29
2026-02-28 12:52:39,42,68,34.0,78,-181.0,0,0.6392574,0.09080361,1,29
2026-02-28 12:52:43,37,68,34.0,78,-205.0,0,12.782458,177.80649,1,29
2026-02-28 12:52:48,38,68,34.0,78,-224.0,0,6.0442085,214.43648,1,29
2026-02-28 12:52:52,37,68,34.0,78,-217.0,0,7.1114902,186.29883,1,29
2026-02-28 12:52:56,41,68,34.0,78,-186.0,0,7.620051,565.7,1,29
2026-02-28 12:53:00,58,68,34.0,78,-180.0,0,0.46318212,0.39358354,1,29
2026-02-28 12:53:04,38,68,34.0,78,-173.0,0,3.7633739,2.1183558,1,29
2026-02-28 12:53:08,35,68,34.0,78,-188.0,0,0.5923412,0.16591375,1,29
2026-02-28 12:53:12,41,68,34.0,78,-182.0,0,2.102191,0.62074375,1,29
2026-02-28 12:53:16,40,69,34.0,78,-210.0,0,12.296251,57.22831,1,29
2026-02-28 12:53:20,50,69,33.6,78,-175.0,0,1.4155787,0.5341486,1,29
2026-02-28 12:53:24,39,69,33.6,78,-180.0,0,0.519505,0.5931299,1,29
2026-02-28 12:53:28,75,69,33.6,78,-378.0,0,9.677509,329.23557,1,29
2026-02-28 12:53:32,36,69,33.6,78,-204.0,0,5.4323573,141.29951,1,29
2026-02-28 12:53:36,42,69,33.6,78,-172.0,0,2.8605568,76.5772,1,29
2026-02-28 12:53:40,100,69,33.6,78,-176.0,0,1.3165005,2.5158815,1,29
2026-02-28 12:53:44,73,68,33.6,78,-225.0,0,32.15103,39.01004,1,29
2026-02-28 12:53:48,44,69,33.6,78,-285.0,0,26.26583,421.52658,1,29
2026-02-28 12:53:52,77,72,33.6,78,-787.0,0,23.4095,441.7449,1,29
2026-02-28 12:53:56,63,72,33.6,78,-401.0,0,11.28957,260.04175,1,29
2026-02-28 12:54:00,78,73,33.6,78,-285.0,0,6.0691605,13.402882,1,29
2026-02-28 12:54:04,61,75,33.6,78,-624.0,0,81.26298,176.17984,1,29
